Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"ST. CHARLE'S SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,171,630,,,,,
"AMANKWU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,3,142,0,1,153,500,,,,,
"COOPERATIVE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,121,386,,,,,
"OCHIEOBU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,124,4,1,134,426,,,,,
"OYE MOTOR PARK II, AGUATA, ANAMBRA",5.9656205,7.1191062,4,57,0,0,63,166,,,,,
"OYE MOTOR PARK III, AGUATA, ANAMBRA",5.9656205,7.1191062,0,98,1,0,105,447,,,,,
"COUNCIL HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,57,3,0,71,184,,,,,
"OBINIKPA PRY. SCHOOL, UMEUZEIYI I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,89,1,3,104,348,,,,,
"OBINIKPA PRY. SCHOOL, UMEUZEIYI II, AGUATA, ANAMBRA",6.0085842,7.1009488,3,47,1,0,51,183,,,,,
"PROGRESSIVE SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,173,2,2,184,658,,,,,
"UMUELEKE HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,117,2,1,127,491,,,,,
"GIRLS SECONDARY SCHOOL I, AGUATA, ANAMBRA",6.0065532,7.0262256,1,118,3,0,126,346,,,,,
"GIRLS SECONDARY SCHOOL II, AGUATA, ANAMBRA",6.0065532,7.0262256,1,34,3,0,43,125,,,,,
"AMANWAFOR SQUARE I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,117,1,3,130,461,,,,,
"AMANWAFOR SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,63,2,0,69,202,,,,,
"AMANWAFOR/ABUDUM SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,98,4,1,111,378,,,,,
"AMANWAFOR SQUARE III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,43,1,1,46,171,,,,,
"OBINIKPA PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,52,2,0,55,160,,,,,
"OBINIKPA PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,3,59,0,0,63,189,,,,,
"UGWUOCHA SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,54,3,0,59,213,,,,,
"UMUELEKE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,58,0,0,65,242,,,,,
"UDARA-EKE SQUARE, AGUATA, ANAMBRA",6.0120647,7.0881293,1,84,2,2,95,351,,,,,
"PROGRESSIVE SCH. II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,141,4,0,152,433,,,,,
"CENTRAL SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,4,254,3,3,273,1053,,,,,
"CENTRAL SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,4,227,2,4,256,989,,,,,
"TOWN HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,160,2,2,167,572,,,,,
"TOWN HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,1,96,0,1,100,398,,,,,
"OBIOFIA PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,30,0,0,32,174,,,,,
"PRY. SCHOOL, AGULUEZE CHUKWU II, AGUATA, ANAMBRA",6.0163611,7.1090215,1,110,4,1,125,410,,,,,
"LONDON SCIENCE I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,115,4,0,127,465,,,,,
"LONDON SCIENCE I, AGUATA, ANAMBRA",6.0085842,7.1009488,3,69,6,0,127,465,,,,,
"LONDON SCIENCE III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,69,2,0,84,408,,,,,
"LONDON SCIENCE III, AGUATA, ANAMBRA",6.0085842,7.1009488,1,104,3,4,84,408,,,,,
"AKPO TOWN HALL I, AGUATA, ANAMBRA",5.9799388,7.1073396,0,207,4,2,219,767,,,,,
